trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,instructions.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,text.started,image_2.started,key_resp_3.started,key_resp_3.keys,text_5.started,polygon.started,text_2.started,text_3.started,image_3.started,image_4.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,text_4.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,encoding_image,encoding_duration,image.started,image.stopped,fixation.started,fixation.stopped,trial_number,correct_position,left.started,right.started,key_resp.started,correct,response,total_trials,correct_responses,key_resp.keys,key_resp.rt,fixation_2.started,fixation_2.stopped,text_6.started,text_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,suspect20.png,1.5,359.22136708709877,360.7179408330703,360.7179408330703,370.7228031960549,19,right,370.7228031960549,370.7228031960549,370.7228031960549,True,right,20,14,right,3.801963138859719,374.5372035820037,376.54419425304513,,,cody,001,2024-11-22_07h28.06.974,eyewitness,2022.2.1,None,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,,suspect21.png,0.5,376.54419425304513,377.04352167004254,377.04352167004254,387.04645493009593,20,left,387.04645493009593,387.04645493009593,387.04645493009593,True,left,21,15,left,3.3611410559387878,390.4210651140893,392.4267509570345,,,cody,001,2024-11-22_07h28.06.974,eyewitness,2022.2.1,None,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,,suspect22.png,1.5,392.4267509570345,393.9257422060473,393.9257422060473,403.9310215440346,21,left,403.9310215440346,403.9310215440346,403.9310215440346,True,left,22,16,left,1.6460074869683012,405.6034665349871,407.6460189020727,,,cody,001,2024-11-22_07h28.06.974,eyewitness,2022.2.1,None,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,,suspect23.png,0.5,407.6460189020727,408.1412974220002,408.1412974220002,418.1968373580603,22,left,418.1968373580603,418.1968373580603,418.1968373580603,True,left,23,17,left,6.527637804043479,424.7347383380402,426.77818906505127,,,cody,001,2024-11-22_07h28.06.974,eyewitness,2022.2.1,None,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,,suspect24.png,0.5,426.77818906505127,427.27506174508017,427.27506174508017,437.3356879390776,23,right,437.3356879390776,437.3356879390776,437.3356879390776,False,left,24,17,left,7.086016110959463,444.43444626010023,446.4751801730599,,,cody,001,2024-11-22_07h28.06.974,eyewitness,2022.2.1,None,
24,0,24,0,,,,,,,,,,,,,,,,,,,,,,suspect25.png,0.5,446.4751801730599,446.974016638007,446.974016638007,457.0382848950103,24,left,457.0382848950103,457.0382848950103,457.0382848950103,True,left,25,18,left,5.931469837902114,462.98555629106704,465.0250945450971,,,cody,001,2024-11-22_07h28.06.974,eyewitness,2022.2.1,None,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,,suspect26.png,1.5,465.0250945450971,466.5238192010438,466.5238192010438,476.5828372440301,25,right,476.5828372440301,476.5828372440301,476.5828372440301,False,left,26,18,left,7.50322128389962,484.1024344241014,486.13901036104653,,,cody,001,2024-11-22_07h28.06.974,eyewitness,2022.2.1,None,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,,suspect27.png,1.5,486.13901036104653,487.6315268990584,487.6315268990584,497.69779113598634,26,right,497.69779113598634,497.69779113598634,497.69779113598634,True,right,27,19,right,3.870985499001108,501.5899450080469,503.6237336010672,,,cody,001,2024-11-22_07h28.06.974,eyewitness,2022.2.1,None,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,,suspect28.png,0.5,503.6237336010672,504.1229948330438,504.1229948330438,514.1848453930579,27,right,514.1848453930579,514.1848453930579,514.1848453930579,True,right,28,20,right,5.423600752954371,519.6228959939908,521.6594512170414,,,cody,001,2024-11-22_07h28.06.974,eyewitness,2022.2.1,None,
28,0,28,0,,,,,,,,,,,,,,,,,,,,,,suspect29.png,1.5,521.6594512170414,523.1555952270282,523.1555952270282,533.2173639570829,28,left,533.2173639570829,533.2173639570829,533.2173639570829,True,left,29,21,left,2.6153777869185433,535.8510118400445,,,,cody,001,2024-11-22_07h28.06.974,eyewitness,2022.2.1,None,
29,0,29,0,,,,,,,,,,,,,,,,,,,,,,suspect30.png,0.5,537.9021826169919,538.3978342080954,538.3978342080954,548.4509503680747,29,right,548.4509503680747,548.4509503680747,548.4509503680747,True,right,30,22,right,4.094694316969253,552.5648618820123,554.5594640059862,,,cody,001,2024-11-22_07h28.06.974,eyewitness,2022.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554.5594640059862,558.5815964440117,,,,,,,
